RG.MATH.102518.004,,RESEARCH,,,,,,Exchange rate,Costing,0.6800
Onno Bokhove,,Spinicur,,,,,,,P1,
,,,,,,,,,P2,
,,,,,,,,,,
,,,,,,,,,,
,€,£,£,£,£,£,,,,
,Original Total Budget,Original Total Budget,P1,P2,Total Committed,Balance Available,% Budget Spent,,,
Consumables,"72,727.40","49,454.63","4,579.26",,"4,579.26","44,875.37",9.26,,,
Travel,"13,672.60","9,297.37","6,335.90",,"6,335.90","2,961.47",68.15,,,
TOTAL,"86,400.00","58,752.00","10,915.16",0.00,"10,915.16","47,836.84",18.58,,,
,,,,,,,,,,
RG.MATH.102518.004 ,,MANAGEMENT,,,,,,,,
Onno Bokhove,,Spinicur,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,€,£,£,£,£,£,,,,
,Original Total Budget,Original Total Budget,P1,P2,Total Committed,Balance Available,% Budget Spent,,,
Investigators,"45,059.65","30,640.56","13,045.15","17,595.41","30,640.56",0.00,100.00,,,
Salaries DA,"6,836.30","4,648.68","1,680.99","2,967.69","4,648.68",0.00,100.00,,,
Audit,"1,777.44","1,208.66",,"1,208.66","1,208.66",0.00,100.00,,,
Travel,"5,000.00","3,400.00",,,0.00,"3,400.00",0.00,,,
TOTAL,"58,673.39","39,897.91","14,726.14","21,771.76","36,497.90","3,400.01",91.48,,,
,,,,,,,,,,
Staff Commitments,£,,,,,,,,,
Onno Bokhove," 17,595.41 ",,,,,,,,,
EU Office," 2,967.69 ",,,,,,,,,
